City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lorengau,-2.0226,147.2712,300.99,80,41,4.43,PG,1723064525
84,lompoc,34.6391,-120.4579,302.36,63,0,6.69,US,1723064888
85,chos malal,-37.3781,-70.2709,277.74,58,91,2.12,AR,1723064889
86,flying fish cove,-10.4217,105.6791,297.97,83,100,5.14,CX,1723064834
87,sidi akkacha,36.4647,1.3026,298.3,60,7,1.44,DZ,1723064891
88,isafjordur,66.0755,-23.124,279.27,92,88,1.66,IS,1723064663
89,cabo san lucas,22.8909,-109.9124,307.76,63,20,8.75,MX,1723064259
90,tolanaro,-25.0319,46.9987,295.19,73,75,7.2,MG,1723064415
91,vepagunta,17.7784,83.2158,299.57,82,100,1.47,IN,1723064896
92,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,77,20,1.0,RU,1723064897
93,virac,13.6333,124.2167,296.58,88,54,4.01,PH,1723064898
94,wailua homesteads,22.0669,-159.378,301.59,67,20,5.66,US,1723064604
95,alotau,-10.3069,150.4462,296.32,96,97,1.42,PG,1723064741
96,mirpur sakro,24.5474,67.6277,301.2,74,100,6.61,PK,1723064902
97,puerto deseado,-47.7503,-65.8938,278.58,69,6,6.73,AR,1723064903
98,bredasdorp,-34.5322,20.0403,282.4,95,2,1.28,ZA,1723064439
99,at taj,24.2049,23.2857,305.65,18,3,6.32,LY,1723064905
100,port mathurin,-19.6833,63.4167,295.4,75,9,5.01,MU,1723064471
101,baihe,22.15,107.2333,299.64,86,0,2.44,CN,1723064907
102,zhezqazghan,47.7833,67.7667,300.35,32,39,3.11,KZ,1723064908
103,arraial do cabo,-22.9661,-42.0278,299.13,69,0,6.17,BR,1723064755
104,namtsy,62.7161,129.6658,282.73,85,8,2.41,RU,1723064450
105,luderitz,-26.6481,15.1594,284.9,81,80,3.02,NA,1723064912
106,west island,-12.1568,96.8225,299.14,73,20,4.63,CC,1723064579
107,nyurba,63.2842,118.3319,282.97,84,63,1.7,RU,1723064729
108,ylitornio,66.3089,23.6773,285.78,70,2,1.39,FI,1723064915
109,bereeda,11.8704,51.0579,302.92,68,10,1.68,SO,1723064917
110,yenotayevka,47.2456,47.0281,299.39,47,95,1.62,RU,1723064919
111,barentu,15.1139,37.5928,295.24,85,87,1.06,ER,1723064920
112,lebu,-37.6167,-73.65,281.92,74,0,5.82,CL,1723064422
113,ad dilam,23.9915,47.1627,307.38,9,99,3.64,SA,1723064922
114,haiku-pauwela,20.9219,-156.3051,302.13,66,15,6.71,US,1723064543
115,albany,42.6001,-73.9662,298.17,67,45,0.45,US,1723064393
116,lubang,13.8584,120.124,302.06,77,24,8.0,PH,1723064781
117,khorinsk,52.1657,109.7726,286.63,90,19,0.61,RU,1723064926
118,blackmans bay,-43.0167,147.3167,281.33,80,100,3.79,AU,1723064446
119,kudahuvadhoo,2.6708,72.8944,300.46,78,100,6.13,MV,1723064929
120,badger,64.8,-147.5333,296.29,54,75,1.54,US,1723064930
121,pauini,-7.7136,-66.9764,308.67,31,86,0.9,BR,1723064741
122,port saint john's,-31.6229,29.5448,291.73,63,95,2.66,ZA,1723064932
123,lazaro cardenas,17.9583,-102.2,304.29,65,22,6.66,MX,1723064643
124,la ronge,55.1001,-105.2842,289.29,48,75,3.6,CA,1723064479
125,launceston,-41.45,147.1667,283.89,93,40,4.63,AU,1723064936
126,hamilton,39.1834,-84.5333,303.7,66,48,2.24,US,1723064406
127,golmarmara,38.7139,27.9142,293.71,60,0,1.39,TR,1723064938
128,bollnas,61.3482,16.3946,288.35,96,100,1.31,SE,1723064939
129,jamestown,42.097,-79.2353,297.35,64,75,3.6,US,1723064545
130,udachny,66.4167,112.4,285.76,59,84,4.31,RU,1723064941
131,thompson,55.7435,-97.8558,291.94,38,100,5.23,CA,1723064943
132,prado,-17.3411,-39.2208,295.42,74,0,3.34,BR,1723064778
133,birobidzhan,48.8,132.95,292.27,97,0,1.0,RU,1723064945
134,vrangel',42.7297,133.0839,294.26,93,100,2.23,RU,1723064946
135,san felice circeo,41.2372,13.0942,300.0,81,1,6.46,IT,1723064947
136,chamical,-30.36,-66.314,287.8,28,82,4.99,AR,1723064948
137,hilo,19.7297,-155.09,301.53,75,20,4.63,US,1723064950
138,broome,42.2506,-75.833,295.7,76,100,4.12,US,1723064951
139,minas de marcona,-15.2119,-75.1103,284.23,86,84,9.14,PE,1723064492
140,mazagao,-0.115,-51.2894,305.18,71,69,1.9,BR,1723064684
